    T(K)        P(bar)        D(mol/L)
  768.9933    9.6643    0.8935   -0.4307    1.9697    3.5586   -9.1068  16   2
  762.5056    8.5791    0.8977   -0.3981    1.9261    3.7236   -9.4085  16   2
  755.8153    7.5877    0.9015   -0.3661    1.8854    3.8920   -9.7153  16   2
  748.9307    6.6849    0.9050   -0.3347    1.8478    4.0637  -10.0270  16   2
  745.4045    6.2634    0.9065   -0.3191    1.8302    4.1512  -10.1853  16   2
  740.0835    5.6748    0.9087   -0.2963    1.8057    4.2828  -10.4228  16   2
  736.4476    5.3029    0.9101   -0.2812    1.7902    4.3725  -10.5842  16   2
  730.9693    4.7850    0.9119   -0.2589    1.7690    4.5075  -10.8263  16   2
  727.2332    4.4589    0.9130   -0.2441    1.7559    4.5995  -10.9908  16   2
  721.6125    4.0062    0.9146   -0.2223    1.7383    4.7380  -11.2376  16   2
  717.7865    3.7223    0.9155   -0.2078    1.7277    4.8325  -11.4052  16   2
  712.0399    3.3295    0.9167   -0.1865    1.7137    4.9746  -11.6567  16   2
  708.1358    3.0841    0.9175   -0.1722    1.7056    5.0715  -11.8274  16   2
  702.2811    2.7460    0.9185   -0.1511    1.6955    5.2175  -12.0834  16   2
  698.3112    2.5356    0.9190   -0.1369    1.6899    5.3170  -12.2572  16   2
  692.3675    2.2469    0.9197   -0.1160    1.6836    5.4669  -12.5179  16   2
  688.3450    2.0681    0.9201   -0.1019    1.6806    5.5691  -12.6948  16   2
  682.3323    1.8238    0.9206   -0.0808    1.6781    5.7231  -12.9602  16   2
  678.2707    1.6732    0.9208   -0.0666    1.6776    5.8281  -13.1402  16   2
  672.2091    1.4683    0.9211   -0.0454    1.6788    5.9863  -13.4102  16   2
  668.1221    1.3426    0.9211   -0.0310    1.6808    6.0941  -13.5933  16   2
  662.0319    1.1724    0.9212   -0.0094    1.6855    6.2566  -13.8680  16   2
  657.9330    1.0685    0.9211    0.0053    1.6898    6.3673  -14.0542  16   2
  651.8339    0.9284    0.9209    0.0275    1.6979    6.5342  -14.3335  16   2
  647.7361    0.8433    0.9207    0.0426    1.7043    6.6479  -14.5227  16   2
  641.6470    0.7291    0.9203    0.0655    1.7155    6.8192  -14.8067  16   2
  637.5623    0.6601    0.9200    0.0812    1.7240    6.9358  -14.9991  16   2
  631.5006    0.5680    0.9194    0.1050    1.7380    7.1116  -15.2877  16   2
  627.4404    0.5125    0.9189    0.1213    1.7483    7.2313  -15.4832  16   2
  621.4221    0.4388    0.9182    0.1460    1.7649    7.4116  -15.7764  16   2
  617.3964    0.3947    0.9176    0.1630    1.7769    7.5342  -15.9750  16   2
  611.4355    0.3364    0.9167    0.1888    1.7958    7.7190  -16.2729  16   2
  607.4531    0.3016    0.9160    0.2065    1.8092    7.8447  -16.4746  16   2
  601.5618    0.2558    0.9149    0.2335    1.8301    8.0339  -16.7772  16   2
  597.6303    0.2286    0.9141    0.2520    1.8448    8.1625  -16.9820  16   2
  591.8189    0.1930    0.9128    0.2801    1.8675    8.3562  -17.2892  16   2
  587.9445    0.1720    0.9119    0.2995    1.8832    8.4878  -17.4971  16   2
  582.2214    0.1446    0.9105    0.3289    1.9075    8.6859  -17.8089  16   2
  578.4092    0.1284    0.9095    0.3490    1.9242    8.8204  -18.0199  16   2
  572.7812    0.1075    0.9079    0.3797    1.9497    9.0228  -18.3364  16   2
      T       P      beta     X(1)     X(n)     X(n+1)     X(2*n)    ns  iter
  879.3060  115.0198    0.0000    0.1764   -0.9307   -1.1042    4.0855  19  13
  879.2141  112.5768    0.0009    0.1594   -0.8307   -1.1270    4.1468   8   3
  879.1053  110.1865    0.0017    0.1420   -0.7307   -1.1498    4.2080   8   3
  878.9796  107.8474    0.0025    0.1241   -0.6307   -1.1727    4.2691   8   3
  878.8369  105.5583    0.0032    0.1057   -0.5307   -1.1957    4.3301   8   3
  878.6770  103.3177    0.0039    0.0869   -0.4307   -1.2187    4.3909   8   3
  878.5000  101.1243    0.0045    0.0675   -0.3307   -1.2418    4.4517   8   3
  878.3056   98.9768    0.0051    0.0477   -0.2307   -1.2650    4.5124   8   3
  878.0938   96.8741    0.0057    0.0274   -0.1307   -1.2882    4.5731   8   4
  877.9234   95.3254    0.0061    0.0118   -0.0557   -1.3057    4.6186   8   5
  877.6919   93.3872    0.0065   -0.0085    0.0400   -1.3281    4.6765   8   6
  877.5619   92.3698    0.0068   -0.0195    0.0907   -1.3401    4.7074   8   4
